player,position,team
Stefan de Vrij,ZG,Inter
Sinaly Diomande,ZG,Auxerre
Charlie Cresswell,ZG,Toulouse
Hugo Larsson,LT,Eint Frankfurt
Hernani,LT,Parma
Gvidas Gineitis,LT,Torino
Giovanni Di Lorenzo,ZG,Napoli
Paul Wanner,LT.AT,Heidenheim
Patrick Wimmer,LT.AT,Wolfsburg
Patrick Dorgu,ZG.AT,Lecce
Pape Matar Sarr,LT,Tottenham
Kevin Stöger,LT,Gladbach
Kenny Lala,ZG,Brest
Samuele Birindelli,ZG.LT,Monza
Samuel Lino,LT.ZG,Atlético Madrid
Romain Faivre,LT.AT,Brest
Benjamín Domínguez,AT,Bologna
Aitor Paredes,ZG,Athletic Club
Teun Koopmeiners,LT.AT,Juventus
Tete Morente,AT.LT,Lecce
Gianluca Caprari,LT.AT,Monza
Gaetano Oristanio,AT.LT,Venezia
Gabriel Magalhães,ZG,Arsenal
Conor Gallagher,LT,Atlético Madrid
Francisco Conceição,AT.LT,Juventus
Fisayo Dele-Bashiru,LT.AT,Lazio
Oladapo Afolayan,AT.LT,St. Pauli
Nicolò Barella,LT,Inter
Nicolás Tagliafico,ZG,Lyon
Nicolás González,AT.LT,Juventus
Nicolas Viola,AT.LT,Cagliari
Nicolas Pépé,AT.LT,Villarreal
Pedro Díaz,LT,Rayo Vallecano
Marash Kumbulla,ZG,Espanyol
Léo Scienza,AT.LT,Heidenheim
Lucas Da Cunha,LT,Como
Lorenz Assignon,ZG.LT,Rennes
Leandro Paredes,LT,Roma
Koni De Winter,ZG,Genoa
Ko Itakura,ZG,Gladbach
Kike Salas,ZG,Sevilla
Curtis Jones,LT.ZG,Liverpool
Felix Agu,ZG,Werder Bremen
Fabio Miretti,LT.AT,Genoa
Adrien Thomasson,LT,Lens
Valentin Rongier,LT.ZG,Marseille
Unai López,LT,Rayo Vallecano
Trent Alexander-Arnold,ZG,Liverpool
Tom Rothe,ZG.LT,Union Berlin
Daniel Parejo,LT,Villarreal
Rodrigo De Paul,LT,Atlético Madrid
Robin Koch,ZG,Eint Frankfurt
Lucas Torró,LT,Osasuna
Marcus Tavernier,AT.LT,Bournemouth
Marcos Alonso,ZG,Celta Vigo
Marc Guéhi,ZG,Crystal Palace
Ernest Nuamah,AT.LT,Lyon
Emre Can,ZG.LT,Dortmund
Abdoulaye Doucouré,LT,Everton
Pablo Rosario,LT.ZG,Nice
Omari Hutchinson,LT.AT,Ipswich Town
Álex Muñoz,ZG,Las Palmas
Youri Tielemans,LT,Aston Villa
Youssouf Ndayishimiye,ZG,Nice
Yves Bissouma,LT,Tottenham
Zito Luvumbo,AT.LT,Cagliari
Álex Grimaldo,ZG,Leverkusen
Yassine Kechta,LT.AT,Le Havre
Abdul Mumin,ZG,Rayo Vallecano
Abel,ZG,Osasuna
Darko Lazović,ZG.LT,Hellas Verona
David Neres,AT,Napoli
William Saliba,ZG,Arsenal
Jules Koundé,ZG,Barcelona
Julian Ryerson,ZG,Dortmund
Keinan Davis,AT,Udinese
Kristjan Asllani,LT,Inter
Kim Min-jae,ZG,Bayern Munich
Ladislav Krejčí,ZG,Girona
Lamine Camara,LT,Monaco
Denis Vavro,ZG,Wolfsburg
Derrick Köhn,ZG.AT,Werder Bremen
Dayot Upamecano,ZG,Bayern Munich
Viktor Tsyhankov,AT.LT,Girona
Vitinha,AT.LT,Genoa
Yasin Ayari,LT,Brighton
Adama Traoré,AT.LT,Fulham
Lasse Rosenboom,ZG,Holstein Kiel
Konrad Laimer,ZG,Bayern Munich
Johann Lepenant,LT,Nantes
Leopold Querfeld,ZG,Union Berlin
Diego Moreira,ZG.LT,Strasbourg
Weston McKennie,LT.ZG,Juventus
Levi Colwill,ZG,Chelsea
Jesus Rodríguez,AT,Betis
Liberato Cacace,LT.ZG,Empoli
Lisandro Martínez,ZG,Manchester Utd
Diego Coppola,ZG,Hellas Verona
Tuta,ZG.LT,Eint Frankfurt
Tyler Dibling,AT.LT,Southampton
Waldemar Anton,ZG,Dortmund
Adrien Truffert,ZG.LT,Rennes
Diego Llorente,ZG,Betis
Logan Costa,ZG,Villarreal
Lorenzo Pellegrini,LT,Roma
Jean-Eudes Aholou,LT,Angers
Jean-Ricner Bellegarde,LT.AT,Wolves
Javi Hernández,ZG,Leganés
Manu Koné,LT,Roma
Dominik Kohr,ZG.LT,Mainz 05
Donny van de Beek,LT,Girona
Téji Savanier,LT,Montpellier
Ulisses Garcia,ZG,Marseille
Djibril Sow,LT,Sevilla
Javi Sánchez,ZG,Valladolid
Jamie Leweling,LT.AT,Stuttgart
Jan Bednarek,ZG,Southampton
Luka Modrić,LT,Real Madrid
Atakan Karazor,LT,Stuttgart
Manuel Locatelli,LT,Juventus
Marc Bartra,ZG,Betis
Tommaso Pobega,LT,Bologna
Thomas Meunier,ZG,Lille
Jake O'Brien,ZG,Everton
Manolis Saliakas,LT.ZG,St. Pauli
Marcos Llorente,ZG.LT,Atlético Madrid
Elliot Anderson,LT,Nott'ham Forest
Strahinja Pavlović,ZG,Milan
Suat Serdar,LT,Hellas Verona
James Justin,ZG,Leicester City
Jackson Tchatchoua,ZG.LT,Hellas Verona
Arnaut Danjuma,AT.LT,Girona
Aron Dønnum,ZG.LT,Toulouse
Marquinhos,ZG,Paris S-G
Mateus Fernandes,LT,Southampton
Martín Zubimendi,LT,Real Sociedad
Takuma Asano,AT.LT,Mallorca
Carlo Boukhalfa,LT,St. Pauli
Carlos Martín,AT.LT,Alavés
Carlos Romero,ZG,Espanyol
Matthijs de Ligt,ZG,Manchester Utd
Arnau Martinez,ZG.LT,Girona
Matt Doherty,ZG,Wolves
